concept:academicfieldhassubfield	arg2 capture throughout arg1,3.0
concept:sportusesequipment	arg1 bet like arg2 (CPL),1.6111111111111112;arg1 shoot with arg2,78.03333333333335;arg1 lure arg2,60.71279761904761;arg2 stub arg1,57.111111111111114;arg1 stub arg2,53.111111111111114;arg2 fly through arg1,46.79166666666666;arg2 honor by arg1,35.74999999999999;arg2 crawl into arg1,24.666666666666668;arg1 fall through arg2,24.0;arg1 stick by arg2,17.0;arg1 hold like arg2,16.833333333333336;arg1 mask arg2,10.0;arg2 bat in arg1,6.0;arg1 notice on arg2,4.0;arg2 skim on arg1,2.5;arg1 putt arg2,2.0;arg1 masturbate with arg2,1.5;arg2 bounce into arg1,1.0;arg1 bounce from arg2,1.0;arg1 (passive) shoot through arg2,1.0
concept:sportusesstadium	arg2 double as arg1,181.06666666666666;arg1 throw from arg2,79.98809523809524;arg2 (passive) build for arg1,66.96666666666667;arg1 lodge at arg2,15.0;arg1 toss from arg2,12.961538461538462;arg1 (passive) see at arg2,11.5;arg1 stamp from arg2,2.0;arg2 (passive) be for arg1,1.0
concept:stadiumlocatedincity	arg2 play at arg1 (CPL),60.16666666666667;arg1 (passive) open in arg2 (CPL),51.333333333333336;arg2 lead at arg1,401.4166666666667;arg2 host at arg1,235.93333333333337;arg2 beat at arg1,128.35;arg2 earn at arg1,92.55555555555557;arg2 celebrate at arg1,83.0;arg2 finish at arg1,82.00694444444444;arg2 head into arg1,73.96428571428572;arg2 roll at arg1,71.75;arg2 pull at arg1,66.52857142857142;arg2 trail at arg1,57.5;arg2 visit at arg1,56.85714285714286;arg2 walk at arg1,56.319047619047616;arg2 launch at arg1,55.125;arg1 cheer on arg2,52.25;arg2 await at arg1,51.52777777777778;arg2 improve at arg1,46.621212121212125;arg2 introduce at arg1,39.5;arg2 sweep at arg1,38.0
concept:statehascapital	arg2 border arg1 (CPL),1.0;arg1 stir in arg2,108.98333333333332;arg1 extend in arg2,101.08333333333333;arg1 operate at arg2,94.16666666666666;arg1 honor in arg2,80.99444444444444;arg1 exercise in arg2,61.03333333333333;arg2 surrender in arg1,60.25;arg2 extend in arg1,54.25;arg1 (passive) know throughout arg2,51.75;arg2 appear before arg1,41.25;arg2 curl in arg1,28.0;arg2 win during arg1,27.0;arg2 dodge in arg1,8.5;arg2 dispatch arg1,5.333333333333333;arg2 spring in arg1,5.0;arg2 secede from arg1,4.0;arg1 scale in arg2,3.0;arg2 sweep in arg1,3.0;arg1 operate for arg2,3.0;arg1 dethrone arg2,2.0;arg1 reinforce in arg2,2.0
concept:statelocatedincountry	arg1 secede from arg2 (CPL),300.7166666666667;arg1 win from arg2 (CPL),11.0;arg1 tuck in arg2 (CPL),4.0;arg2 play against arg1 (CPL),3.0;arg1 rejoin arg2 (CPL),3.0;arg2 border arg1 (CPL),2.0;arg1 bind for arg2 (CPL),2.0;arg1 border arg2 (CPL),1.0;arg1 gain from arg2,495.5952380952381;arg2 map arg1,356.21153846153845;arg1 lie between arg2,269.25;arg1 break with arg2,268.08333333333337;arg1 join with arg2,260.8;arg2 resume in arg1,242.57857142857142;arg2 count on arg1,215.25;arg2 cede arg1,202.6166666666667;arg2 hold with arg1,200.5;arg1 declare from arg2,185.15000000000003;arg2 establish at arg1,155.98333333333335;arg1 split from arg2,154.18055555555557;arg2 recall from arg1,152.01388888888889;arg1 experience in arg2,140.71428571428572;arg2 add from arg1,139.75;arg1 violate in arg2,136.35;arg1 integrate into arg2,136.26666666666665;arg1 (passive) divide between arg2,121.16666666666667;arg2 welt in arg1,116.33333333333334
concept:stateorprovinceisborderedbystateorprovince	arg2 border arg1 (CPL),248.4785714285714;arg1 border arg2 (CPL),216.4369047619048;arg1 score against arg2 (CPL),2.5;arg2 tie with arg1 (CPL),2.0;arg1 look against arg2 (CPL),1.5;arg1 (passive) beat by arg2 (CPL),1.0;arg2 outplay arg1 (CPL),0.5;arg1 stretch from arg2,208.80555555555554;arg2 secede from arg1,166.7;arg2 split from arg1,147.41666666666666;arg1 border on arg2,90.61706349206348;arg1 stop on arg2,89.85714285714286;arg2 intersect with arg1,88.70833333333333;arg1 intersect with arg2,77.70833333333333;arg2 stop on arg1,67.0;arg1 own with arg2,64.05357142857142;arg2 remain within arg1,55.708333333333336;arg2 neighbor arg1,49.833333333333336;arg2 (passive) split from arg1,43.05555555555556;arg1 exchange with arg2,42.5;arg1 bound by arg2,41.5;arg1 confirm with arg2,39.46666666666667;arg2 stroll arg1,36.025;arg1 rescind with arg2,29.5;arg2 hunt in arg1,25.866666666666667
concept:streetincity	arg1 throw in arg2,148.24426807760142
concept:teamalsoknownas	arg1 tilit toward arg2,3.0
concept:teamhomestadium	arg1 play at arg2 (CPL),562.4166666666667;arg1 take at arg2 (CPL),136.0;arg2 cheer on arg1 (CPL),59.47222222222223;arg1 (passive) play at arg2 (CPL),43.33333333333333;arg1 race at arg2 (CPL),5.75;arg1 earn at arg2,456.8;arg1 beat at arg2,439.6666666666667;arg1 join as arg2,391.0;arg1 defeat at arg2,378.75;arg1 complete at arg2,351.4166666666667;arg1 face at arg2,340.25;arg1 finish at arg2,302.87660256410254;arg1 host at arg2,283.8;arg1 pull at arg2,274.87380952380954;arg1 establish at arg2,217.66666666666666;arg1 split at arg2,206.11904761904762;arg1 fall at arg2,182.72272727272724;arg1 defeat in arg2,182.5;arg1 hit at arg2,173.0;arg1 dominate at arg2,171.75000000000003;arg1 down at arg2,156.08333333333331;arg1 land at arg2,149.38333333333333;arg1 celebrate at arg2,149.08333333333331
concept:teammate	arg2 join arg1 (CPL),242.0;arg1 drop into arg2,141.33333333333331;arg2 celebrate with arg1,60.0;arg1 stick into arg2,48.83333333333333;arg1 (passive) insert into arg2,25.0;arg1 shove arg2,3.0;arg1 slide into arg2,1.75
concept:teamplaysagainstteam	arg2 roll arg1 (CPL),1782.8333333333333;arg1 roll arg2 (CPL),1714.3333333333333;arg1 acquire from arg2 (CPL),942.5;arg1 win over arg2 (CPL),931.9166666666666;arg2 acquire from arg1 (CPL),890.9166666666667;arg2 defeat arg1 (CPL),871.25;arg2 win over arg1 (CPL),781.1666666666666;arg1 defeat arg2 (CPL),725.25;arg1 play against arg2 (CPL),646.35;arg1 win against arg2 (CPL),615.2166666666667;arg1 visit arg2 (CPL),591.1;arg1 sign with arg2 (CPL),575.0833333333333;arg2 visit arg1 (CPL),528.1;arg2 win against arg1 (CPL),509.91666666666663;arg2 lose against arg1 (CPL),470.7654761904761;arg1 lose against arg2 (CPL),428.5015873015872;arg1 stun arg2 (CPL),413.6666666666667;arg2 play against arg1 (CPL),407.42777777777775;arg2 face against arg1 (CPL),379.645238095238;arg2 stun arg1 (CPL),368.5;arg2 knock arg1 (CPL),355.3333333333333;arg1 knock arg2 (CPL),353.8333333333333;arg2 edge arg1 (CPL),345.5;arg2 sweep arg1 (CPL),335.6190476190476;arg1 sweep arg2 (CPL),327.5;arg1 beat arg2 (CPL),318.5;arg2 beat arg1 (CPL),318.5;arg1 face against arg2 (CPL),290.5059523809523;arg1 edge arg2 (CPL),283.7916666666667;arg2 win with arg1 (CPL),254.71428571428572;arg2 host arg1 (CPL),244.33333333333334;arg1 overtake arg2 (CPL),234.5;arg2 do against arg1 (CPL),213.23333333333332;arg2 overtake arg1 (CPL),213.0;arg1 have against arg2 (CPL),202.98;arg1 take against arg2 (CPL),202.24999999999997;arg2 have against arg1 (CPL),200.01333333333332;arg1 do against arg2 (CPL),198.45;arg1 outplay arg2 (CPL),185.06250000000006;arg2 take against arg1 (CPL),181.53333333333333;arg2 outscore arg1 (CPL),180.91666666666663;arg2 outplay arg1 (CPL),179.31249999999997;arg1 outscore arg2 (CPL),173.6904761904762;arg1 look against arg2 (CPL),172.82142857142853;arg1 get against arg2 (CPL),169.96666666666667;arg1 struggle arg2 (CPL),162.70833333333331;arg2 open against arg1 (CPL),156.13809523809525;arg2 split with arg1 (CPL),154.18333333333334;arg1 score against arg2 (CPL),144.625;arg2 look against arg1 (CPL),143.0654761904762;arg1 be against arg2 (CPL),140.16666666666669;arg1 down arg2 (CPL),135.23333333333335;arg2 shut arg1 (CPL),130.0;arg2 talk with arg1 (CPL),127.65;arg1 open against arg2 (CPL),123.63333333333334;arg2 get against arg1 (CPL),120.88333333333333;arg2 come against arg1 (CPL),120.16666666666666;arg2 be against arg1 (CPL),111.83333333333334;arg1 come against arg2 (CPL),111.61111111111111;arg2 match with arg1 (CPL),110.75;arg2 finish behind arg1 (CPL),109.37499999999999;arg2 dismantle arg1 (CPL),109.27043650793652;arg1 finish behind arg2 (CPL),102.04166666666667;arg1 match with arg2 (CPL),99.5;arg1 root for arg2 (CPL),90.36428571428573;arg1 shut arg2 (CPL),89.0;arg2 beat on arg1 (CPL),85.41666666666666;arg2 need against arg1 (CPL),81.5;arg1 need against arg2 (CPL),80.5;arg1 (passive) bear arg2 (CPL),74.86666666666667;arg1 resign arg2 (CPL),72.66666666666667;arg2 film arg1 (CPL),72.36904761904762;arg1 film arg2 (CPL),69.74404761904762;arg2 blank arg1 (CPL),65.56666666666668;arg1 squeak by arg2 (CPL),65.375;arg2 manhandle arg1 (CPL),65.25;arg2 struggle arg1 (CPL),64.79166666666666;arg1 clobber arg2 (CPL),64.1904761904762;arg2 (passive) tie with arg1 (CPL),60.166666666666664;arg1 pummel arg2 (CPL),58.5;arg2 outrebound arg1 (CPL),58.0;arg1 jolt arg2 (CPL),58.0;arg1 blank arg2 (CPL),57.583333333333336;arg1 outrebound arg2 (CPL),56.5;arg1 be over arg2 (CPL),54.5;arg1 (passive) tie with arg2 (CPL),53.416666666666664;arg2 clobber arg1 (CPL),52.041666666666664;arg1 meet of arg2 (CPL),51.888888888888886;arg2 pummel arg1 (CPL),51.25;arg2 jolt arg1 (CPL),49.5;arg2 squeak by arg1 (CPL),48.25;arg2 root for arg1 (CPL),46.666666666666664;arg2 pitch for arg1 (CPL),45.25;arg1 pounce on arg2 (CPL),44.333333333333336;arg2 pounce on arg1 (CPL),43.5;arg1 slay arg2 (CPL),42.0;arg1 outmuscle arg2 (CPL),41.666666666666664;arg2 outmuscle arg1 (CPL),41.666666666666664;arg1 manhandle arg2 (CPL),39.58333333333333;arg1 beat on arg2 (CPL),38.0;arg1 win as arg2 (CPL),31.055555555555557;arg1 outgain arg2 (CPL),28.75;arg2 whip on arg1 (CPL),28.394230769230766;arg2 be over arg1 (CPL),26.583333333333336;arg2 whoop on arg1 (CPL),26.5;arg1 whip on arg2 (CPL),25.509615384615387;arg2 meet of arg1 (CPL),23.0;arg1 have than arg2 (CPL),21.0;arg1 (passive) beat by arg2 (CPL),18.083333333333336;arg2 have than arg1 (CPL),17.5;arg1 push against arg2 (CPL),16.083333333333332;arg2 (passive) beat by arg1 (CPL),16.0;arg1 tie with arg2 (CPL),15.875;arg2 compete against arg1 (CPL),14.833333333333334;arg2 tie with arg1 (CPL),14.75;arg1 finish of arg2 (CPL),14.5;arg2 finish of arg1 (CPL),14.5;arg2 choke against arg1 (CPL),14.25;arg1 win from arg2 (CPL),11.0;arg1 announce from arg2 (CPL),10.13888888888889;arg2 beat of arg1 (CPL),9.5;arg1 whomp arg2 (CPL),9.0;arg1 rejoin arg2 (CPL),8.0;arg1 murder arg2 (CPL),7.333333333333334;arg2 (passive) pair against arg1 (CPL),6.0;arg1 cut into arg2 (CPL),6.0;arg1 peg arg2 (CPL),5.666666666666666;arg1 score as arg2 (CPL),5.5;arg1 embarass arg2 (CPL),5.333333333333334;arg2 beat against arg1 (CPL),5.333333333333333;arg1 help against arg2 (CPL),5.0;arg1 (passive) pair against arg2 (CPL),3.0;arg2 embarass arg1 (CPL),3.0;arg1 pump into arg2 (CPL),2.0;arg1 tie for arg2 (CPL),2.0;arg2 stink arg1 (CPL),1.1428571428571428;arg2 banish arg1 (CPL),1.0;arg1 banish arg2 (CPL),1.0;arg2 sweep against arg1 (CPL),0.75;arg1 sweep with arg2 (CPL),0.75;arg1 sweep against arg2 (CPL),0.75;arg2 sweep with arg1 (CPL),0.75;arg1 quit on arg2 (CPL),0.6666666666666666;arg1 react with arg2,1084.4166666666667;arg2 react with arg1,1070.8333333333335
concept:teamplaysincity	arg2 (passive) tie with arg1 (CPL),1.0;arg1 tie in arg2,107.75;arg1 push in arg2,86.04166666666667;arg1 blow in arg2,44.33333333333333;arg1 seem in arg2,39.5;arg2 brown arg1,27.666666666666668;arg2 score as arg1,24.547619047619047;arg1 dash arg2,15.833333333333334;arg1 tie at arg2,15.0;arg1 draw over arg2,11.5;arg1 pound at arg2,10.0;arg1 pummel in arg2,6.0;arg1 roll through arg2,5.0;arg1 crush in arg2,3.0;arg2 beat as arg1,3.0;arg1 scam arg2,3.0;arg1 trounce in arg2,3.0;arg1 right in arg2,2.0;arg1 surprise in arg2,1.5;arg1 detonate in arg2,1.3333333333333333;arg2 eagle arg1,1.3333333333333333
concept:teamplaysinleague	arg2 suspend arg1 (CPL),279.0;arg1 coach in arg2 (CPL),119.31666666666668;arg2 fine arg1 (CPL),99.35833333333335;arg1 stink arg2 (CPL),32.35;arg1 feast on arg2 (CPL),14.5;arg2 play against arg1 (CPL),3.0;arg2 bet against arg1 (CPL),2.0;arg1 down arg2 (CPL),1.0;arg2 agree with arg1,281.0;arg2 champion arg1,164.33333333333334;arg2 lead past arg1,161.61111111111114;arg1 swim arg2,129.40277777777777;arg2 confirm that arg1,125.58333333333334;arg1 knock in arg2,115.55;arg1 predate arg2,96.75303030303031;arg2 slap arg1,86.16666666666667;arg1 defend in arg2,82.03333333333333;arg1 update from arg2,73.13888888888889;arg1 move by arg2,69.25;arg2 fire from arg1,69.0;arg1 halt in arg2,66.11666666666667;arg1 clinch in arg2,63.5;arg1 score in arg2,61.5952380952381;arg2 punish arg1,59.0;arg2 respond arg1,54.0
concept:teamplayssport	arg1 kill arg2 (CPL),126.0;arg1 (passive) play arg2 (CPL),77.29444444444445;arg1 struggle arg2 (CPL),2.0;arg2 boast arg1,393.25;arg1 rank among arg2,216.61666666666667;arg1 pursue at arg2,137.08333333333331;arg2 return with arg1,83.63333333333334;arg2 march arg1,68.06825396825397;arg1 fix in arg2,48.416666666666664;arg1 defeat of arg2,30.5;arg1 outlast in arg2,22.666666666666664;arg1 upset in arg2,3.0;arg2 finish for arg1,2.5714285714285716;arg1 feel across arg2,2.0;arg1 deep-six arg2,2.0;arg1 trade in arg2,2.0;arg1 topple in arg2,2.0;arg1 excel at arg2,1.5;arg1 clinch in arg2,1.3333333333333333;arg2 autograph on arg1,1.0
concept:teamwontrophy	arg1 win arg2 (CPL),1530.0;arg1 win from arg2 (CPL),179.33333333333334;arg1 beat in arg2 (CPL),142.9047619047619;arg1 clinch arg2 (CPL),135.95;arg1 sweep arg2 (CPL),10.0;arg1 stun arg2 (CPL),5.5;arg1 tie for arg2 (CPL),3.0;arg1 fly with arg2 (CPL),2.75;arg2 be against arg1 (CPL),2.3333333333333335;arg2 root for arg1 (CPL),1.5;arg1 beat for arg2,225.93333333333334;arg1 face in arg2,164.22916666666669;arg1 finish in arg2,162.5;arg1 try for arg2,152.22222222222223;arg1 deliver with arg2,151.4;arg1 upset in arg2,121.41666666666669;arg1 head towards arg2,121.28333333333333;arg1 trade for arg2,115.25833333333333;arg1 wear for arg2,98.5;arg1 finish with arg2,93.5;arg1 slip in arg2,84.625;arg1 sweep in arg2,82.58333333333334;arg1 stun in arg2,75.16666666666667;arg1 secure in arg2,74.78939393939395;arg1 nail arg2,63.83333333333333;arg1 head for arg2,62.0
concept:televisionstationaffiliatedwith	arg1 sidestep arg2,0.6666666666666666
concept:televisionstationincity	arg1 produce in arg2,153.5;arg1 enlist in arg2,153.41666666666666;arg1 broadcast in arg2,23.333333333333332;arg1 muster arg2,1.5;arg1 broadcast from arg2,0.5;arg1 pursue through arg2,0.5
concept:thinghascolor	arg2 remind at arg1,7.75
concept:thinghasshape	arg1 tick arg2,46.5;arg1 tick in arg2,18.5;arg2 boat arg1,2.5;arg2 make than arg1,2.5;arg1 whir arg2,2.375;arg1 gae arg2,2.0;arg2 pad with arg1,1.25;arg1 whiz arg2,1.25;arg1 lock into arg2,1.0;arg1 lunch arg2,1.0;arg1 squeak arg2,1.0;arg1 whirl arg2,0.625;arg2 grease arg1,0.5
concept:transportationincity	arg1 run between arg2 (CPL),314.8333333333333;arg1 operate between arg2 (CPL),267.0;arg1 bind for arg2 (CPL),121.33333333333334;arg2 inaugurate arg1 (CPL),5.0;arg1 leave from arg2,219.13809523809522;arg1 depart from arg2,206.05;arg1 pass through arg2,134.25;arg1 terminate in arg2,133.48333333333332;arg1 open between arg2,132.5;arg1 leaf from arg2,116.16666666666669;arg2 prosper through arg1,78.66666666666667;arg1 connect in arg2,69.16666666666666;arg2 condition arg1,48.233333333333334;arg1 connect at arg2,43.583333333333336;arg1 exist from arg2,22.25;arg1 (passive) serve from arg2,12.833333333333334;arg1 depart for arg2,11.0;arg2 break by arg1,9.75;arg1 serve from arg2,9.0;arg1 fly within arg2,5.0
concept:vegetableproductioninstateorprovince	arg1 (passive) grow in arg2 (CPL),4.0;arg1 ripen across arg2,3.0
concept:visualartistartform	arg1 portray in arg2 (CPL),49.95238095238095;arg1 explore through arg2,24.750000000000004;arg1 etch arg2,20.555555555555557;arg1 happen upon arg2,9.5;arg1 express through arg2,6.75;arg1 quote about arg2,6.0;arg1 amass from arg2,4.0;arg2 etch arg1,3.0;arg1 capture with arg2,2.0;arg1 paste into arg2,2.0;arg2 think by arg1,1.5;arg1 exploit in arg2,1.5;arg1 spotlight in arg2,1.0
concept:visualartistartmovement	arg2 develop by arg1,67.16666666666666;arg1 appropriate for arg2,15.0;arg1 draw during arg2,2.0
concept:weaponmadeincountry	arg2 pursue arg1 (CPL),170.00000000000003;arg2 acquire for arg1 (CPL),131.33333333333334;arg2 arm with arg1 (CPL),48.22222222222222;arg2 forgo arg1 (CPL),23.5;arg2 retaliate with arg1 (CPL),20.666666666666668;arg2 dismantle arg1 (CPL),11.833333333333332;arg2 market arg1 (CPL),3.3333333333333335;arg2 sprinkle with arg1 (CPL),2.0;arg2 teem with arg1 (CPL),1.5;arg2 commit with arg1 (CPL),1.25;arg2 test arg1,568.2;arg1 make in arg2,444.0;arg2 get on arg1,337.6;arg2 explode arg1,286.3333333333333;arg2 detonate arg1,279.25;arg2 possess arg1,241.5;arg2 prepare with arg1,141.2;arg1 (passive) find in arg2,132.5;arg2 export arg1,118.11111111111111;arg1 reward in arg2,108.5;arg2 switch from arg1,100.25;arg2 rattle arg1,77.66666666666666;arg2 strike with arg1,69.04166666666666;arg2 mine arg1,62.57142857142857;arg1 (passive) be arg2,62.0;arg2 harbor arg1,59.86111111111111;arg2 launch with arg1,59.5;arg2 train in arg1,54.710606060606054
concept:writerwasbornincity	arg1 (passive) bear in arg2 (CPL),369.0;arg1 clobber arg2 (CPL),1.0;arg1 renege on arg2,199.36190476190475;arg1 descend on arg2,187.83333333333334;arg1 pray arg2,185.20357142857142;arg1 invite in arg2,157.23333333333335;arg1 approach in arg2,117.96666666666667;arg1 teach on arg2,113.76289682539682;arg1 fulfill arg2,77.0;arg1 plead arg2,74.5;arg1 fulfil arg2,70.75;arg1 spread in arg2,64.58333333333333;arg1 appeal for arg2,59.1025641025641;arg1 campaign on arg2,52.75;arg2 declare as arg1,48.33333333333334;arg2 reprimand arg1,48.0;arg1 respond in arg2,47.0;arg2 ordain arg1,45.375;arg1 ask with arg2,43.382051282051286;arg1 rise on arg2,40.111111111111114;arg2 rebuke arg1,39.916666666666664
concept:zooincity	arg1 situate in arg2,188.51666666666668;arg2 house at arg1,2.0;arg2 let from arg1,0.5
