concept:academicfieldhassubfield	arg2 capture throughout arg1,3.0
concept:athleteplaysinleague	arg1 play for arg2 (CPL),17.0;arg2 fine arg1 (CPL),15.0;arg1 rank in arg2,312.3611111111111;arg1 smack arg2,117.87619047619047;arg1 face for arg2,80.43553113553114;arg1 run of arg2,63.25;arg1 ditch arg2,30.625;arg1 fin arg2,22.8;arg1 bolt for arg2,20.0;arg1 keep inside arg2,16.0;arg2 stand after arg1,11.333333333333334;arg1 flop in arg2,11.0;arg1 clutch in arg2,10.0;arg2 levy against arg1,8.0;arg1 explode into arg2,7.5;arg1 energize arg2,5.0;arg2 instruct on arg1,4.0;arg2 want against arg1,2.0;arg1 (passive) fine by arg2,2.0;arg1 cement in arg2,2.0
concept:athleteplayssport	arg1 retire from arg2 (CPL),366.8333333333333;arg1 announce from arg2 (CPL),135.41666666666666;arg1 autograph arg2,175.83333333333334;arg1 ban from arg2,154.22222222222223;arg1 face of arg2,68.72222222222221;arg2 finish with arg1,62.416666666666664;arg1 dodge in arg2,23.625;arg1 suspend from arg2,20.75;arg1 eat before arg2,18.0;arg1 cry over arg2,12.625;arg1 tire for arg2,7.25;arg2 chop down arg1,6.0;arg1 smash arg2,4.0;arg2 ace like arg1,3.0;arg1 revitalize arg2,3.0;arg1 break for arg2,2.0;arg2 pretend arg1,1.5;arg1 bet from arg2,1.0;arg1 gamble on arg2,1.0;arg1 snub at arg2,1.0
concept:athleteplayssportsteamposition	arg1 surpass as arg2,0.5
concept:athletewinsawardtrophytournament	arg1 get for arg2,214.5;arg1 pitch in arg2,52.75;arg1 eat after arg2,42.33333333333333;arg1 reveal at arg2,36.38214285714286;arg1 storm into arg2,18.0;arg1 throw during arg2,4.0;arg1 congratulate after arg2,1.5;arg1 battle until arg2,1.5;arg1 inform before arg2,1.3333333333333333;arg1 tip during arg2,1.0;arg1 tee at arg2,0.5;arg1 triump at arg2,0.5
concept:attractionmadeofbuildingmaterial	arg2 continue along arg1,11.5;arg1 stand of arg2,0.8333333333333334;arg1 extend amongst arg2,0.8;arg2 divert from arg1,0.6;arg1 (passive) cast in arg2,0.5;arg1 engrave in arg2,0.5
concept:automakerproducesmodel	arg1 offer arg2 (CPL),1162.0;arg1 market arg2 (CPL),160.17619047619047;arg1 redesign arg2 (CPL),144.2863636363636;arg1 discontinue arg2 (CPL),79.66666666666667;arg1 build into arg2 (CPL),48.16666666666667;arg1 turbocharge arg2 (CPL),33.0;arg1 dub arg2 (CPL),32.0;arg1 engineer arg2 (CPL),16.833333333333332;arg1 retrofit arg2 (CPL),4.0;arg1 reduce of arg2 (CPL),1.5;arg1 tap arg2,226.2;arg1 evolve into arg2,126.25000000000001;arg2 outsell arg1,115.0;arg1 compound arg2,113.52380952380952;arg1 polish arg2,111.29880952380952;arg1 exhaust arg2,77.54761904761905;arg1 try with arg2,74.75000000000001;arg1 remake arg2,66.83333333333334;arg1 step with arg2,66.41666666666666;arg1 can arg2,62.666666666666664;arg1 promote with arg2,54.0;arg1 market as arg2,53.5;arg1 excel arg2,49.0;arg1 exert arg2,45.0;arg1 mess with arg2,40.8
concept:automobilemakercardealersinstateorprovince	arg2 have than arg1 (CPL),3.0;arg1 lease in arg2,128.0;arg1 quote in arg2,35.5;arg1 slow at arg2,4.0;arg1 echo in arg2,2.5;arg1 offer beyond arg2,2.0;arg1 overprice in arg2,1.3333333333333333;arg1 clip in arg2,1.25;arg1 outsell in arg2,1.0;arg1 gain throughout arg2,0.5
concept:automobilemakerchiefexecutiveceo	arg1 tout in arg2,14.25;arg2 corrupt arg1,2.0
concept:automobilemakerdealersincity	arg1 drive into arg2,153.85000000000002;arg1 flee into arg2,47.6;arg1 tear in arg2,9.5;arg1 assemble in arg2,5.0;arg2 deal from arg1,1.0;arg1 spy in arg2,0.6666666666666666
concept:automobilemakerdealersincountry	arg1 (passive) produce in arg2 (CPL),31.958333333333336;arg1 take against arg2 (CPL),5.333333333333333;arg2 have against arg1 (CPL),2.0;arg2 banish arg1 (CPL),1.6666666666666667;arg1 launch in arg2,605.8333333333333;arg2 gain from arg1,432.41666666666663;arg2 ban from arg1,209.95238095238096;arg1 recall in arg2,166.6595238095238;arg1 manufacture in arg2,149.14351851851853;arg1 shift from arg2,136.63095238095235;arg1 assemble in arg2,128.33333333333331;arg1 explore in arg2,128.25;arg1 roll in arg2,125.88095238095238;arg1 control in arg2,121.6484126984127;arg2 border on arg1,121.48214285714288;arg1 train in arg2,114.51060606060608;arg1 unleash in arg2,114.41666666666666;arg1 soak in arg2,112.875;arg1 employ in arg2,109.83333333333334;arg2 place with arg1,106.66666666666667;arg1 sell in arg2,93.9;arg1 pull of arg2,91.1;arg1 ask from arg2,85.91666666666666;arg1 spare arg2,69.8
concept:awardtrophytournamentisthechampionshipgameofthenationalsport	arg2 happen at arg1,42.0;arg2 take before arg1,17.0;arg2 shine at arg1,3.0;arg2 match at arg1,3.0;arg2 rid of arg1,2.0;arg1 hat in arg2,2.0
concept:bacteriaisthecausativeagentofphysiologicalcondition	arg1 cause arg2 (CPL),354.0;arg2 cause by arg1 (CPL),59.583333333333336;arg2 calculate by arg1,1.0
concept:bakedgoodservedwithbeverage	arg1 clot arg2 (CPL),1.25;arg1 dunk in arg2,8.0;arg1 (passive) enrobe with arg2,0.6666666666666666;arg2 puff for arg1,0.5
concept:bankbankincountry	arg1 shut in arg2,160.83333333333334;arg2 rescue arg1,129.66666666666669;arg1 conduct in arg2,117.81666666666666;arg1 stick with arg2,96.0;arg2 shut in arg1,77.80000000000001;arg2 integrate with arg1,75.57142857142857;arg2 inject into arg1,71.0;arg2 bail arg1,69.63333333333333;arg2 issue from arg1,67.0;arg1 promise in arg2,65.1;arg2 nationalize arg1,55.65;arg2 nationalise arg1,30.13888888888889;arg1 discontinue in arg2,16.333333333333336;arg1 employ in arg2,3.5;arg1 (passive) buy in arg2,3.0;arg1 laud arg2,2.5;arg1 shell with arg2,2.0;arg1 operate around arg2,2.0;arg1 activate throughout arg2,2.0;arg1 infuriate arg2,2.0
concept:bankboughtbank	arg2 acquire arg1 (CPL),803.0;arg1 acquire arg2 (CPL),398.75;arg1 acquire of arg2 (CPL),3.0;arg1 earn from arg2,463.96666666666664;arg2 merge with arg1,446.6666666666667;arg1 merge with arg2,446.6666666666667;arg1 complete from arg2,154.99747474747477;arg1 stand behind arg2,126.36904761904762;arg1 bid for arg2,126.24999999999999;arg2 complete from arg1,91.16414141414143;arg2 settle with arg1,88.1;arg2 stand behind arg1,85.26190476190477;arg1 operate through arg2,80.66666666666666;arg2 buy by arg1,63.50000000000001;arg1 buy by arg2,53.333333333333336;arg1 mop arg2,51.88333333333333;arg1 buy into arg2,41.833333333333336;arg2 settle by arg1,29.95;arg2 bail by arg1,25.75;arg2 close of arg1,25.666666666666664;arg2 forge with arg1,24.5
concept:beveragecontainsprotein	arg2 fortify arg1 (CPL),35.5;arg1 (passive) fortify with arg2 (CPL),19.5;arg2 (passive) fortify arg1 (CPL),0.6666666666666666;arg1 fortify with arg2,9.0;arg2 do via arg1,3.5;arg2 (passive) shake into arg1,3.0;arg1 neutralise arg2,2.5;arg1 (passive) fuse with arg2,1.0;arg1 (passive) pack with arg2,1.0
concept:beveragemadefrombeverage	arg1 blend of arg2 (CPL),107.96666666666667;arg2 blend of arg1 (CPL),80.73333333333333;arg2 thrive as arg1,75.5;arg2 contain as arg1,58.75;arg2 reign over arg1,48.61875;arg1 epitomize arg2,38.5;arg2 vinify as arg1,3.0;arg2 mouthwater like arg1,2.0;arg2 handcraft arg1,1.5;arg1 (passive) prefer over arg2,1.5;arg2 dominate among arg1,1.5
